28  G102  5  12492.733413008189  4  6.48095323186366
28  G141  5  18120.64826849987  6  19.378277213972314
28  G141  7  16536.660601827054  3  4.869583832812142
28  G141  8  22457.940239529962  3  1.3969050172701318
28  G141  9  14846.061963976928  5  5.351365922312768
28  G141  9  19478.98144802356  4  3.910508189636902
28  G141  14  21081.507942147848  4  8.72239193133091
28  G141  16  14669.225611902672  3  4.038431035665757
28  G102  17  10512.294209056941  4  6.815038090181544
28  G141  17  22559.628136712276  3  7.82575712179784
28  G141  19  19260.216811101793  4  5.239507179666248
28  G141  19  22508.7267661933  5  4.453200917924298
28  G141  20  13774.812398993701  3  7.210938869628721
28  G102  21  10553.612779506653  6  6.952448550022866
28  G141  21  19923.992983278928  3  4.6296028185100875
28  G141  22  16685.946398464857  3  3.9387128381937266
28  G102  25  11370.259040457957  3  5.563460321812413
28  G141  29  14364.814971985452  7  13.40580047489989
28  G141  29  18872.612991134145  4  5.440316849070367
28  G141  32  15810.02750073389  3  3.3300204983761166
28  G141  33  19879.038142292942  3  4.975953451011766
28  G141  34  16000.61519173075  3  6.242996664012921
28  G141  34  19655.78077740306  11  21.0360097041459
28  G141  39  17281.137515247083  3  1.3695345632408742
28  G141  39  18451.083332375987  8  13.962589559386286
28  G141  39  22508.7267661933  8  12.395676072817567
28  G141  41  17398.64341334576  4  3.2030278242501726
28  G141  42  17320.21770907443  8  19.369550340207617
28  G141  42  18161.626852669746  3  5.316933872149207
28  G141  45  16836.579801007407  7  9.478433775862529
28  G141  45  22508.7267661933  11  7.45199088375255
28  G102  46  12154.360055556128  6  16.792561589229358
28  G141  46  16536.660601827054  3  5.879327980370835
28  G102  48  12106.774974863043  3  7.583812654116341
28  G102  49  11281.402249866478  4  3.351149345977169
28  G141  49  17320.21770907443  3  6.1125598965810015
28  G141  50  22457.940239529962  3  2.870551916881137
28  G102  51  12541.835358976805  3  9.159251473411766
28  G141  51  18038.9682596484  4  8.708305713084114
28  G102  52  10267.757491519667  3  5.54355348614587
28  G141  53  14364.814971985452  3  6.820063390533741
28  G102  54  11825.151014745734  3  8.551497532543356
28  G102  55  11686.805081249082  4  5.207256801401327
28  G141  57  14236.29462552821  4  8.617791891760406
28  G102  58  10678.545369289412  4  9.995689458412887
28  G141  58  14321.846464769264  7  46.95266844432359
28  G141  58  18830.030277476006  5  14.63953919619242
28  G141  60  19086.97530966781  3  2.990105844762462
28  G141  64  22155.61833114416  3  6.799351250920101
28  G102  65  11641.050356964952  3  4.197395759102276
28  G102  67  10804.956758182656  4  5.671607867229771
28  G102  68  11414.949520760536  3  -0.9593407764507585
28  G141  68  16786.21818416955  5  6.6223143568177445
28  G141  68  22407.268297611132  5  -0.31680723664701693
28  G141  71  22559.628136712276  9  5.887846533590451
28  G141  72  22457.940239529962  7  9.61008158235815
28  G141  73  19611.43107776271  7  13.190603126193391
28  G102  74  10308.11500186869  3  3.0900221877662934
28  G141  74  22457.940239529962  8  8.564243311897089
28  G141  76  14669.225611902672  6  7.490830688248492
28  G102  79  12541.835358976805  8  63.745120378771475
28  G102  82  12106.774974863043  3  7.963891511723796
28  G141  82  22508.7267661933  6  9.434674178692433
28  G102  85  11149.417255814205  6  17.807150202201676
28  G102  85  12298.240332664078  6  21.291648732659834
28  G141  85  21129.181934790184  3  7.309829860639963
28  G141  86  20287.310725219962  6  8.853004152588603
28  G141  90  19000.939758753804  11  17.064935696191647
28  G141  90  21857.366006421486  5  4.37341875378969
28  G102  92  10187.515819879594  11  30.210403548793735
28  G141  92  17281.137515247083  10  17.21152979298684
28  G141  92  22508.7267661933  13  25.729591640559356
28  G102  93  10762.654241272096  3  2.9733858692222426
28  G102  94  12012.16293395866  3  3.0947917890389616
28  G141  94  16736.007200170876  3  2.341594053364909
28  G102  96  11237.234572478235  6  16.117571766432686
28  G141  96  14757.378931489744  7  19.89939069274877
28  G141  103  13733.608604038154  3  5.4876547593090725
28  G141  103  19435.030643667404  6  20.38355322286914
28  G102  108  10430.141689389855  4  7.941739356099424
28  G141  108  17755.976598902536  7  13.811430695586793
28  G141  109  18872.612991134145  9  19.64579034628462
28  G102  110  12059.376177414077  5  4.880823915805722
28  G141  110  15621.709809829163  3  4.798535508774949
28  G141  111  17836.37529943783  8  17.818327775836543
28  G141  111  20610.644076135846  3  3.78369735693112
28  G102  117  10227.557970352185  3  2.947846024447423
28  G102  117  10471.137390089705  5  13.132788605308773
28  G102  117  12591.130281777743  4  7.950648549319533
28  G141  117  13448.612237603571  3  8.907469241212812
28  G141  117  13774.812398993701  3  6.025321680127472
28  G141  120  20195.864882376965  3  7.1245110007093215
28  G141  123  17281.137515247083  6  8.029794635925875
28  G141  123  22559.628136712276  9  18.827185103084663
28  G102  124  11965.134518101055  3  4.790693451249485
28  G141  124  22559.628136712276  8  3.024949017166768
28  G102  126  12395.105432708417  3  5.38367331668296
28  G102  128  12395.105432708417  6  13.919480903509623
28  G141  131  20425.256402979365  3  5.284217781944833
28  G141  133  21660.76492026044  6  15.352472928050187
28  G102  134  10308.11500186869  3  3.9034896975873203
28  G102  134  11965.134518101055  4  3.043189077645595
28  G141  134  19173.400405865876  5  6.910751586657309
28  G141  134  19879.038142292942  3  3.640977107601941
28  G102  137  12346.577896329452  3  6.8120697606100205
28  G141  137  16685.946398464857  5  20.87608878169066
28  G141  137  20564.140010479212  3  8.095421636777898
28  G141  137  21081.507942147848  3  19.416619804680742
28  G102  139  10227.557970352185  3  4.8023776817942645
28  G141  141  20564.140010479212  9  12.63395715022436
28  G141  142  15389.463725516282  3  3.479662311215242
